INSERT INTO IsFriendsWith VALUES('Jam5', 'Nev34')
INSERT INTO IsFriendsWith VALUES('Col39', 'Vic11')
INSERT INTO IsFriendsWith VALUES('Col39', 'Ell98')
INSERT INTO IsFriendsWith VALUES('Sum62', 'Sad63')
INSERT INTO IsFriendsWith VALUES('Sum62', 'Eva14')
INSERT INTO IsFriendsWith VALUES('Sum62', 'Ell98')
INSERT INTO IsFriendsWith VALUES('Vic11', 'Pen30')
INSERT INTO IsFriendsWith VALUES('Pen30', 'Ken41')
INSERT INTO IsFriendsWith VALUES('Pen30', 'Rea73')
INSERT INTO IsFriendsWith VALUES('Pen30', 'Isa54')
INSERT INTO IsFriendsWith VALUES('Pen30', 'Ell98')
INSERT INTO IsFriendsWith VALUES('Ell98', 'Eva14')
INSERT INTO IsFriendsWith VALUES('Sad63', 'Lil5')
INSERT INTO IsFriendsWith VALUES('Sad63', 'Ken41')
INSERT INTO IsFriendsWith VALUES('Sad63', 'Isa54')
INSERT INTO IsFriendsWith VALUES('Sad63', 'Rea73')
INSERT INTO IsFriendsWith VALUES('Sad63', 'Ril94')
INSERT INTO IsFriendsWith VALUES('Ken41', 'Rea73')
INSERT INTO IsFriendsWith VALUES('Ken41', 'Ale30')
INSERT INTO IsFriendsWith VALUES('Rea73', 'Ave30')
INSERT INTO IsFriendsWith VALUES('Rea73', 'Ril94')
INSERT INTO IsFriendsWith VALUES('Rea73', 'Isa53')
INSERT INTO IsFriendsWith VALUES('Rea73', 'Gia19')
INSERT INTO IsFriendsWith VALUES('Rea73', 'Log40')
INSERT INTO IsFriendsWith VALUES('Log40', 'Ada15')
INSERT INTO IsFriendsWith VALUES('Log40', 'Gia19')
INSERT INTO IsFriendsWith VALUES('Log40', 'Seb38')
INSERT INTO IsFriendsWith VALUES('Log40', 'Ril94')
INSERT INTO IsFriendsWith VALUES('Isa53', 'Coo44')
INSERT INTO IsFriendsWith VALUES('Isa53', 'Ave30')
INSERT INTO IsFriendsWith VALUES('Isa53', 'Ale30')
INSERT INTO IsFriendsWith VALUES('Isa53', 'Gia19')
INSERT INTO IsFriendsWith VALUES('Isa53', 'Ril94')
INSERT INTO IsFriendsWith VALUES('Ave30', 'Seb38')
INSERT INTO IsFriendsWith VALUES('Ave30', 'Lil5')
INSERT INTO IsFriendsWith VALUES('Ave30', 'Ale30')
INSERT INTO IsFriendsWith VALUES('Ave30', 'Gia19')
INSERT INTO IsFriendsWith VALUES('Ave30', 'Ada15')
INSERT INTO IsFriendsWith VALUES('Ave30', 'Gra31')
INSERT INTO IsFriendsWith VALUES('Ave30', 'Par90')
INSERT INTO IsFriendsWith VALUES('Ril94', 'Lil5')
INSERT INTO IsFriendsWith VALUES('Ril94', 'Gia19')
INSERT INTO IsFriendsWith VALUES('Ril94', 'Ada15')
INSERT INTO IsFriendsWith VALUES('Ril94', 'Gra31')
INSERT INTO IsFriendsWith VALUES('Ril94', 'Par90')
INSERT INTO IsFriendsWith VALUES('Ril94', 'Vio20')
INSERT INTO IsFriendsWith VALUES('Lil5', 'Coo44')
INSERT INTO IsFriendsWith VALUES('Lil5', 'Gra31')
INSERT INTO IsFriendsWith VALUES('Lil5', 'Par90')
INSERT INTO IsFriendsWith VALUES('Lil5', 'Ale30')
INSERT INTO IsFriendsWith VALUES('Ale30', 'Coo44')
INSERT INTO IsFriendsWith VALUES('Ale30', 'Par90')
INSERT INTO IsFriendsWith VALUES('Ale30', 'Vio20')
INSERT INTO IsFriendsWith VALUES('Ale30', 'Ada15')
INSERT INTO IsFriendsWith VALUES('Seb38', 'Cha38')
INSERT INTO IsFriendsWith VALUES('Seb38', 'Jul57')
INSERT INTO IsFriendsWith VALUES('Seb38', 'Gia19')
INSERT INTO IsFriendsWith VALUES('Seb38', 'Ada15')
INSERT INTO IsFriendsWith VALUES('Seb38', 'Gra31')
INSERT INTO IsFriendsWith VALUES('Seb38', 'Vio20')
INSERT INTO IsFriendsWith VALUES('Gia19', 'Oli90')
INSERT INTO IsFriendsWith VALUES('Gia19', 'Cha38')
INSERT INTO IsFriendsWith VALUES('Gia19', 'Jul57')
INSERT INTO IsFriendsWith VALUES('Gia19', 'Ada15')
INSERT INTO IsFriendsWith VALUES('Gia19', 'Gra31')
INSERT INTO IsFriendsWith VALUES('Gia19', 'Vio20')
INSERT INTO IsFriendsWith VALUES('Ada15', 'Oli90')
INSERT INTO IsFriendsWith VALUES('Ada15', 'Cha38')
INSERT INTO IsFriendsWith VALUES('Ada15', 'Eli10')
INSERT INTO IsFriendsWith VALUES('Ada15', 'Lia95')
INSERT INTO IsFriendsWith VALUES('Ada15', 'Coo44')
INSERT INTO IsFriendsWith VALUES('Ada15', 'Par90')
INSERT INTO IsFriendsWith VALUES('Coo44', 'Oli90')
INSERT INTO IsFriendsWith VALUES('Coo44', 'Eli10')
INSERT INTO IsFriendsWith VALUES('Coo44', 'Lia95')
INSERT INTO IsFriendsWith VALUES('Coo44', 'Lev34')
INSERT INTO IsFriendsWith VALUES('Coo44', 'Gra31')
INSERT INTO IsFriendsWith VALUES('Coo44', 'Par90')
INSERT INTO IsFriendsWith VALUES('Gra31', 'Oli90')
INSERT INTO IsFriendsWith VALUES('Gra31', 'Cha38')
INSERT INTO IsFriendsWith VALUES('Gra31', 'Jul57')
INSERT INTO IsFriendsWith VALUES('Gra31', 'Eli10')
INSERT INTO IsFriendsWith VALUES('Gra31', 'Lia95')
INSERT INTO IsFriendsWith VALUES('Gra31', 'Vio20')
INSERT INTO IsFriendsWith VALUES('Par90', 'Lia95')
INSERT INTO IsFriendsWith VALUES('Par90', 'Jac49')
INSERT INTO IsFriendsWith VALUES('Par90', 'Vio20')
INSERT INTO IsFriendsWith VALUES('Par90', 'Eli10')
INSERT INTO IsFriendsWith VALUES('Vio20', 'Lia95')
INSERT INTO IsFriendsWith VALUES('Vio20', 'Cha38')
INSERT INTO IsFriendsWith VALUES('Vio20', 'Ant63')
INSERT INTO IsFriendsWith VALUES('Vio20', 'Lev34')
INSERT INTO IsFriendsWith VALUES('Vio20', 'Eli10')
INSERT INTO IsFriendsWith VALUES('Oli90', 'Jac49')
INSERT INTO IsFriendsWith VALUES('Oli90', 'Ari97')
INSERT INTO IsFriendsWith VALUES('Cha38', 'Jul57')
INSERT INTO IsFriendsWith VALUES('Cha38', 'Jac49')
INSERT INTO IsFriendsWith VALUES('Cha38', 'Sam61')
INSERT INTO IsFriendsWith VALUES('Eli10', 'smk44')
INSERT INTO IsFriendsWith VALUES('Eli10', 'Luc30')
INSERT INTO IsFriendsWith VALUES('Lia95', 'smk44')
INSERT INTO IsFriendsWith VALUES('Lia95', 'Car82')
INSERT INTO IsFriendsWith VALUES('Lia95', 'Lev34')
INSERT INTO IsFriendsWith VALUES('Lia95', 'Ari97')
INSERT INTO IsFriendsWith VALUES('Lia95', 'Luc30')
INSERT INTO IsFriendsWith VALUES('Lia95', 'Sam61')
INSERT INTO IsFriendsWith VALUES('Lev34', 'Jac49')
INSERT INTO IsFriendsWith VALUES('Lev34', 'Luc7')
INSERT INTO IsFriendsWith VALUES('Lev34', 'Car82')
INSERT INTO IsFriendsWith VALUES('Lev34', 'Ant63')
INSERT INTO IsFriendsWith VALUES('Lev34', 'Car80')
INSERT INTO IsFriendsWith VALUES('Jac49', 'Jac26')
INSERT INTO IsFriendsWith VALUES('Jac49', 'Ari97')
INSERT INTO IsFriendsWith VALUES('Ari97', 'smk44')
INSERT INTO IsFriendsWith VALUES('Ari97', 'Luc7')
INSERT INTO IsFriendsWith VALUES('Ari97', 'Car82')
INSERT INTO IsFriendsWith VALUES('Ari97', 'Car80')
INSERT INTO IsFriendsWith VALUES('Ari97', 'Ale2')
INSERT INTO IsFriendsWith VALUES('Ari97', 'Ant63')
INSERT INTO IsFriendsWith VALUES('Ari97', 'Luc30')
INSERT INTO IsFriendsWith VALUES('Ant63', 'Luc7')
INSERT INTO IsFriendsWith VALUES('Ant63', 'Car80')
INSERT INTO IsFriendsWith VALUES('Ant63', 'Car82')
INSERT INTO IsFriendsWith VALUES('Ant63', 'Ale2')
INSERT INTO IsFriendsWith VALUES('Ant63', 'Sam61')
INSERT INTO IsFriendsWith VALUES('Luc30', 'Cam16')
INSERT INTO IsFriendsWith VALUES('Luc30', 'smk44')
INSERT INTO IsFriendsWith VALUES('Luc30', 'Luc7')
INSERT INTO IsFriendsWith VALUES('Luc30', 'Ale2')
INSERT INTO IsFriendsWith VALUES('Luc30', 'Car80')
INSERT INTO IsFriendsWith VALUES('Sam61', 'Car82')
INSERT INTO IsFriendsWith VALUES('Sam61', 'Jac26')
INSERT INTO IsFriendsWith VALUES('Sam61', 'Ale2')
INSERT INTO IsFriendsWith VALUES('Sam61', 'Wil48')
INSERT INTO IsFriendsWith VALUES('Sam61', 'Cam16')
INSERT INTO IsFriendsWith VALUES('Sam61', 'Gab45')
INSERT INTO IsFriendsWith VALUES('smk44', 'Cam16')
INSERT INTO IsFriendsWith VALUES('smk44', 'Gab45')
INSERT INTO IsFriendsWith VALUES('smk44', 'Ale2')
INSERT INTO IsFriendsWith VALUES('smk44', 'Car80')
INSERT INTO IsFriendsWith VALUES('Luc7', 'Car80')
INSERT INTO IsFriendsWith VALUES('Luc7', 'Jac26')
INSERT INTO IsFriendsWith VALUES('Luc7', 'Ale2')
INSERT INTO IsFriendsWith VALUES('Luc7', 'Ash60')
INSERT INTO IsFriendsWith VALUES('Luc7', 'Wil48')
INSERT INTO IsFriendsWith VALUES('Luc7', 'Gab45')
INSERT INTO IsFriendsWith VALUES('Luc7', 'Max14')
INSERT INTO IsFriendsWith VALUES('Car82', 'Cam16')
INSERT INTO IsFriendsWith VALUES('Car82', 'Gab45')
INSERT INTO IsFriendsWith VALUES('Car82', 'Max14')
INSERT INTO IsFriendsWith VALUES('Car82', 'Ale2')
INSERT INTO IsFriendsWith VALUES('Car82', 'Wil48')
INSERT INTO IsFriendsWith VALUES('Car80', 'Jac26')
INSERT INTO IsFriendsWith VALUES('Car80', 'Ale2')
INSERT INTO IsFriendsWith VALUES('Car80', 'Ash60')
INSERT INTO IsFriendsWith VALUES('Car80', 'Cam16')
INSERT INTO IsFriendsWith VALUES('Car80', 'Wil48')
INSERT INTO IsFriendsWith VALUES('Car80', 'Gab45')
INSERT INTO IsFriendsWith VALUES('Jac26', 'Sop48')
INSERT INTO IsFriendsWith VALUES('Ale2', 'Hen92')
INSERT INTO IsFriendsWith VALUES('Ale2', 'Tyl2')
INSERT INTO IsFriendsWith VALUES('Ale2', 'Ash60')
INSERT INTO IsFriendsWith VALUES('Cam16', 'Hen92')
INSERT INTO IsFriendsWith VALUES('Cam16', 'Max14')
INSERT INTO IsFriendsWith VALUES('Cam16', 'Bry35')
INSERT INTO IsFriendsWith VALUES('Cam16', 'Nat68')
INSERT INTO IsFriendsWith VALUES('Cam16', 'Tyl2')
INSERT INTO IsFriendsWith VALUES('Wil48', 'Max14')
INSERT INTO IsFriendsWith VALUES('Wil48', 'Nat68')
INSERT INTO IsFriendsWith VALUES('Gab45', 'Hen92')
INSERT INTO IsFriendsWith VALUES('Gab45', 'Nat68')
INSERT INTO IsFriendsWith VALUES('Ash60', 'Sop48')
INSERT INTO IsFriendsWith VALUES('Ash60', 'Bry35')
INSERT INTO IsFriendsWith VALUES('Ash60', 'Joh49')
INSERT INTO IsFriendsWith VALUES('Max14', 'Cla54')
INSERT INTO IsFriendsWith VALUES('Tyl2', 'Ari65')
INSERT INTO IsFriendsWith VALUES('Tyl2', 'Bry35')
INSERT INTO IsFriendsWith VALUES('Tyl2', 'Joh49')
INSERT INTO IsFriendsWith VALUES('Tyl2', 'Cla54')
INSERT INTO IsFriendsWith VALUES('Tyl2', 'Nat68')
INSERT INTO IsFriendsWith VALUES('Hen92', 'Ari65')
INSERT INTO IsFriendsWith VALUES('Hen92', 'Ian46')
INSERT INTO IsFriendsWith VALUES('Hen92', 'Sop48')
INSERT INTO IsFriendsWith VALUES('Hen92', 'Ben63')
INSERT INTO IsFriendsWith VALUES('Sop48', 'Ari65')
INSERT INTO IsFriendsWith VALUES('Sop48', 'Jos80')
INSERT INTO IsFriendsWith VALUES('Bry35', 'Joh49')
INSERT INTO IsFriendsWith VALUES('Bry35', 'Cla54')
INSERT INTO IsFriendsWith VALUES('Bry35', 'Jos80')
INSERT INTO IsFriendsWith VALUES('Bry35', 'Ben63')
INSERT INTO IsFriendsWith VALUES('Nat68', 'Aal91')
INSERT INTO IsFriendsWith VALUES('Cla54', 'Ari65')
INSERT INTO IsFriendsWith VALUES('Cla54', 'Aal91')
INSERT INTO IsFriendsWith VALUES('Cla54', 'Lil78')
INSERT INTO IsFriendsWith VALUES('Cla54', 'Ben63')
INSERT INTO IsFriendsWith VALUES('Ian46', 'Ari65')
INSERT INTO IsFriendsWith VALUES('Ian46', 'Aal91')
INSERT INTO IsFriendsWith VALUES('Ian46', 'Joh49')
INSERT INTO IsFriendsWith VALUES('Ian46', 'Tri22')
INSERT INTO IsFriendsWith VALUES('Ian46', 'Lil78')
INSERT INTO IsFriendsWith VALUES('Joh49', 'Aal91')
INSERT INTO IsFriendsWith VALUES('Joh49', 'Tri22')
INSERT INTO IsFriendsWith VALUES('Joh49', 'Jas15')
INSERT INTO IsFriendsWith VALUES('Joh49', 'Jac37')
INSERT INTO IsFriendsWith VALUES('Joh49', 'Pey81')
INSERT INTO IsFriendsWith VALUES('Joh49', 'Ari65')
INSERT INTO IsFriendsWith VALUES('Joh49', 'Jos80')
INSERT INTO IsFriendsWith VALUES('Ari65', 'Jas15')
INSERT INTO IsFriendsWith VALUES('Ari65', 'Pey81')
INSERT INTO IsFriendsWith VALUES('Ari65', 'Lil78')
INSERT INTO IsFriendsWith VALUES('Ari65', 'Rya11')
INSERT INTO IsFriendsWith VALUES('Ari65', 'Ben63')
INSERT INTO IsFriendsWith VALUES('Ben63', 'Jas15')
INSERT INTO IsFriendsWith VALUES('Ben63', 'Tri22')
INSERT INTO IsFriendsWith VALUES('Ben63', 'Aal91')
INSERT INTO IsFriendsWith VALUES('Ben63', 'Pey81')
INSERT INTO IsFriendsWith VALUES('Ben63', 'Bro13')
INSERT INTO IsFriendsWith VALUES('Ben63', 'Lil78')
INSERT INTO IsFriendsWith VALUES('Jos80', 'Jas15')
INSERT INTO IsFriendsWith VALUES('Jos80', 'Jor67')
INSERT INTO IsFriendsWith VALUES('Jos80', 'Tri22')
INSERT INTO IsFriendsWith VALUES('Lil78', 'Jas15')
INSERT INTO IsFriendsWith VALUES('Lil78', 'Rya11')
INSERT INTO IsFriendsWith VALUES('Aal91', 'Ann71')
INSERT INTO IsFriendsWith VALUES('Aal91', 'Jas15')
INSERT INTO IsFriendsWith VALUES('Aal91', 'Jor67')
INSERT INTO IsFriendsWith VALUES('Jas15', 'Jac37')
INSERT INTO IsFriendsWith VALUES('Jas15', 'Pey81')
INSERT INTO IsFriendsWith VALUES('Jas15', 'Rya11')
INSERT INTO IsFriendsWith VALUES('Jas15', 'Bro13')
INSERT INTO IsFriendsWith VALUES('Jas15', 'Ann71')
INSERT INTO IsFriendsWith VALUES('Jas15', 'Cha12')
INSERT INTO IsFriendsWith VALUES('Jas15', 'Lil68')
INSERT INTO IsFriendsWith VALUES('Jac37', 'Pey81')
INSERT INTO IsFriendsWith VALUES('Jac37', 'Rya11')
INSERT INTO IsFriendsWith VALUES('Jac37', 'Ann71')
INSERT INTO IsFriendsWith VALUES('Jac37', 'Cha12')
INSERT INTO IsFriendsWith VALUES('Jac37', 'Ale51')
INSERT INTO IsFriendsWith VALUES('Jac37', 'Sop59')
INSERT INTO IsFriendsWith VALUES('Jac37', 'Lil68')
INSERT INTO IsFriendsWith VALUES('Pey81', 'Lil68')
INSERT INTO IsFriendsWith VALUES('Pey81', 'Sop59')
INSERT INTO IsFriendsWith VALUES('Pey81', 'Col84')
INSERT INTO IsFriendsWith VALUES('Rya11', 'Jor67')
INSERT INTO IsFriendsWith VALUES('Rya11', 'Bro13')
INSERT INTO IsFriendsWith VALUES('Rya11', 'Ann71')
INSERT INTO IsFriendsWith VALUES('Rya11', 'Isa35')
INSERT INTO IsFriendsWith VALUES('Rya11', 'Sop59')
INSERT INTO IsFriendsWith VALUES('Rya11', 'Col84')
INSERT INTO IsFriendsWith VALUES('Rya11', 'Lil68')
INSERT INTO IsFriendsWith VALUES('Bro13', 'Jor67')
INSERT INTO IsFriendsWith VALUES('Bro13', 'Ann71')
INSERT INTO IsFriendsWith VALUES('Bro13', 'Cha12')
INSERT INTO IsFriendsWith VALUES('Bro13', 'Ale51')
INSERT INTO IsFriendsWith VALUES('Bro13', 'Sop59')
INSERT INTO IsFriendsWith VALUES('Bro13', 'Lil68')
INSERT INTO IsFriendsWith VALUES('Jor67', 'Isa35')
INSERT INTO IsFriendsWith VALUES('Jor67', 'Cha12')
INSERT INTO IsFriendsWith VALUES('Jor67', 'Ale51')
INSERT INTO IsFriendsWith VALUES('Jor67', 'Sop59')
INSERT INTO IsFriendsWith VALUES('Ann71', 'Lil68')
INSERT INTO IsFriendsWith VALUES('Ann71', 'Cha12')
INSERT INTO IsFriendsWith VALUES('Ann71', 'Sop59')
INSERT INTO IsFriendsWith VALUES('Ann71', 'Col84')
INSERT INTO IsFriendsWith VALUES('Ann71', 'Isa35')
INSERT INTO IsFriendsWith VALUES('Ann71', 'Bel65')
INSERT INTO IsFriendsWith VALUES('Ann71', 'Ell54')
INSERT INTO IsFriendsWith VALUES('Lil68', 'Jak25')
INSERT INTO IsFriendsWith VALUES('Lil68', 'Cha12')
INSERT INTO IsFriendsWith VALUES('Lil68', 'Ale51')
INSERT INTO IsFriendsWith VALUES('Lil68', 'Sop59')
INSERT INTO IsFriendsWith VALUES('Lil68', 'Col84')
INSERT INTO IsFriendsWith VALUES('Lil68', 'Isa35')
INSERT INTO IsFriendsWith VALUES('Lil68', 'Bel65')
INSERT INTO IsFriendsWith VALUES('Lil68', 'Ell54')
INSERT INTO IsFriendsWith VALUES('Ale51', 'Isa35')
INSERT INTO IsFriendsWith VALUES('Ale51', 'Jak25')
INSERT INTO IsFriendsWith VALUES('Ale51', 'Bel65')
INSERT INTO IsFriendsWith VALUES('Ale51', 'Sop59')
INSERT INTO IsFriendsWith VALUES('Ale51', 'Ell54')
INSERT INTO IsFriendsWith VALUES('Sop59', 'Jak25')
INSERT INTO IsFriendsWith VALUES('Sop59', 'Oli78')
INSERT INTO IsFriendsWith VALUES('Sop59', 'Col84')
INSERT INTO IsFriendsWith VALUES('Sop59', 'Bel65')
INSERT INTO IsFriendsWith VALUES('Sop59', 'Jos8')
INSERT INTO IsFriendsWith VALUES('Sop59', 'Ell54')
INSERT INTO IsFriendsWith VALUES('Bel65', 'Jak25')
INSERT INTO IsFriendsWith VALUES('Bel65', 'Kay42')
INSERT INTO IsFriendsWith VALUES('Bel65', 'Bry62')
INSERT INTO IsFriendsWith VALUES('Bel65', 'Oli78')
INSERT INTO IsFriendsWith VALUES('Bel65', 'Pip100')
INSERT INTO IsFriendsWith VALUES('Jos8', 'Kay42')
INSERT INTO IsFriendsWith VALUES('Jos8', 'Hud73')
INSERT INTO IsFriendsWith VALUES('Jos8', 'Ell54')
INSERT INTO IsFriendsWith VALUES('Ell54', 'Bry62')
INSERT INTO IsFriendsWith VALUES('Ell54', 'Cal65')
INSERT INTO IsFriendsWith VALUES('Jak25', 'Pip100')
INSERT INTO IsFriendsWith VALUES('Jak25', 'Oli78')
INSERT INTO IsFriendsWith VALUES('Jak25', 'Kay42')
INSERT INTO IsFriendsWith VALUES('Jak25', 'Nat30')
INSERT INTO IsFriendsWith VALUES('Jak25', 'Add30')
INSERT INTO IsFriendsWith VALUES('Jak25', 'Bry62')
INSERT INTO IsFriendsWith VALUES('Gav85', 'Hud73')
INSERT INTO IsFriendsWith VALUES('Gav85', 'Kay42')
INSERT INTO IsFriendsWith VALUES('Gav85', 'Bry62')
INSERT INTO IsFriendsWith VALUES('Gav85', 'Oli78')
INSERT INTO IsFriendsWith VALUES('Gav85', 'Cal65')
INSERT INTO IsFriendsWith VALUES('Pip100', 'Oli78')
INSERT INTO IsFriendsWith VALUES('Pip100', 'Kay42')
INSERT INTO IsFriendsWith VALUES('Pip100', 'Hud73')
INSERT INTO IsFriendsWith VALUES('Pip100', 'Cal65')
INSERT INTO IsFriendsWith VALUES('Pip100', 'Nat30')
INSERT INTO IsFriendsWith VALUES('Pip100', 'Add30')
INSERT INTO IsFriendsWith VALUES('Pip100', 'Jos99')
INSERT INTO IsFriendsWith VALUES('Pip100', 'Bry62')
INSERT INTO IsFriendsWith VALUES('Oli78', 'Nat30')
INSERT INTO IsFriendsWith VALUES('Oli78', 'Kay42')
INSERT INTO IsFriendsWith VALUES('Oli78', 'Hud73')
INSERT INTO IsFriendsWith VALUES('Oli78', 'Add30')
INSERT INTO IsFriendsWith VALUES('Oli78', 'Jos99')
INSERT INTO IsFriendsWith VALUES('Nat30', 'Kai81')
INSERT INTO IsFriendsWith VALUES('Bry62', 'Kay42')
INSERT INTO IsFriendsWith VALUES('Bry62', 'Cal65')
INSERT INTO IsFriendsWith VALUES('Bry62', 'Add30')
INSERT INTO IsFriendsWith VALUES('Bry62', 'Jos99')
INSERT INTO IsFriendsWith VALUES('Bry62', 'Isa7')
INSERT INTO IsFriendsWith VALUES('Bry62', 'Bro63')
INSERT INTO IsFriendsWith VALUES('Bry62', 'Kai81')
INSERT INTO IsFriendsWith VALUES('Kay42', 'Kai81')
INSERT INTO IsFriendsWith VALUES('Kay42', 'Add30')
INSERT INTO IsFriendsWith VALUES('Kay42', 'Mia0')
INSERT INTO IsFriendsWith VALUES('Kay42', 'Jos99')
INSERT INTO IsFriendsWith VALUES('Hud73', 'Mia0')
INSERT INTO IsFriendsWith VALUES('Hud73', 'Cal65')
INSERT INTO IsFriendsWith VALUES('Add30', 'Bro63')
INSERT INTO IsFriendsWith VALUES('Add30', 'Kai81')
INSERT INTO IsFriendsWith VALUES('Add30', 'Mia0')
INSERT INTO IsFriendsWith VALUES('Isa7', 'Mia0')
INSERT INTO IsFriendsWith VALUES('Bro63', 'Kai81')
INSERT INTO IsFriendsWith VALUES('Kai81', 'Mia0')
